urla,urlA,story_urlA,risk_urlA,urlb,urlB,story_urlB,risk_urlB
https://www.kickstarter.com/projects/1657066401/maodamorta-11-debut-eps?ref=discovery_category_newest,1657066401/maodamorta-11-debut-eps,"Our music (And cheaply produced, potato quality demos) can speak for themselves. 11 songs are written and are ready to be tracked. We want to bring you feels and devastation in the form of weaponized audio straight into your ear canal. Instead of screeching noises and other unpleasant sounds, we intend to bring you an anvil (which is made of metal) straight into the part of your brain that process metal music. (I'm not sure which part, I'm not a neurologist.)1. Intro/Ashen (Song in the video)2. The Estranged3. Shards4. Some Certain Undying Madness5. Ridge6. The Call of the Void7. A.S.P.8. Little by Little9. Harmacy (I Ain't Prejudice)10. Ode to Room 22311. Gone is RealityWe understand that there is a lot of fraud committed on kickstarter, why would you trust us unestablished group of dudes from the internet?Listed below is what we have tallied up... (Updates as arrangements are made)Studio time - Nitrosonic studios 500 a day (11 songs, a lot of intricacies)Publicists - Negotiable/TBDTransportation - Negotiable/TBDStaff - TBDDesign - 10% of our pay, J.T. is our (fifth member) and a great guy!We plan to use nitrosonic studios in Lexington KY to record our demos, to send to various labels. 11 demos will be recorded and freely available to our backers of over 10 online, and the rubber chicken offer extended to backers of 20.Once our foot is in the door we are prepared to ravage the industry, with a different kind of brutality. With our evil, crushing, sometimes trance inducing riffs and intense lyrical content, we hope we are able to appeal to those who want something new in an oversaturated market of repackaged sounds. We won't repackage our act and let our potential fans down. We hope we can take you by surprise, regardless or not of the success of this campaign.","We are in an area where metal is non-existent.People could assume that we're a watered down version of band ""X"", at first glance. None of the members living arrangements are the best, and we live spread out over a large area. Other than these hindrances, all else is slated go work out fairly well.",https://www.kickstarter.com/projects/1657066401/maodamorta-help-us-forge-some-metal?ref=discovery_category_newest,1657066401/maodamorta-help-us-forge-some-metal,"Our music (And cheaply produced, potato quality demos) can speak for themselves. 11 songs are written and are ready to be tracked. We want to bring you feels and devastation in the form of weaponized audio straight into your ear canal. Instead of screeching noises and other unpleasant sounds, we intend to bring you an anvil (which is made of metal) straight into the part of your brain that process metal music. (I'm not sure which part, I'm not a neurologist.)TRACKS! (Not all will be recorded)1. Intro/Ashen (Song in the video)2. The Estranged 3. Shards 4. Some Certain Undying Madness5. Ridge6. The Call of the Void 7. A.S.P. 8. Little by Little9. Harmacy (I Ain't Prejudice)10. Ode to Room 22311. Gone is RealityWe understand that there is a lot of fraud committed on kickstarter, why would you trust us unestablished group of dudes from the internet?Listed below is what we have tallied up... (Updates as arrangements are made)Studio time - Nitrosonic studios 500 a day (11 songs, a lot of intricacies)Publicists - Negotiable/TBDTransportation - Negotiable/TBDStaff - TBDDesign - 10% of our pay, J.T. is our (fifth member) and a great guy!We plan to use nitrosonic studios in Lexington KY to record our demos, to send to various labels. 11 demos will be recorded and freely available to our backers of over 5 online, and the rubber chicken offer extended to backers of 50. ","We are in an area where metal is non-existent. People could assume that we're a watered down version of band ""X"", at first glance. None of the members living arrangements are the best, and we live spread out over a large area. Other than these hindrances, all else is slated to work out fairly well."
https://www.kickstarter.com/projects/1014477225/animation-studio-0?ref=discovery_category_newest,1014477225/animation-studio-0,"Our first film features King Gregor the minotaur, who struggles to find the balance between protecting the human world and protecting his own.Our success will help to rebuild Hull by:Creating jobs - jobs bring in money which allows people to spend money.Using local suppliers and services - reinvesting money in the area helping other businesses to succeed.Promoting local talent - finding local actors and singers for future film productions.These things will all contribute to rebuilding the economy.","There are many risks involved in making any movie, because the truth is that most Hollywood movies end up in negative equity.I aim to minimize that risk by doing most of this first animation myself.",https://www.kickstarter.com/projects/1014477225/the-gentle-giant?ref=discovery_category_newest,1014477225/the-gentle-giant,"The ProjectWe're trying to create an animated short film about a monster that attacks a village.The main aim of the short is to build an audience in anticipation of the release of a future feature film.Production of the short has already begun, but £2000 is needed to buy a computer to complete the project. Once a more powerful computer has been purchased render times will be significantly shorter making production quicker.Production will continue on the short, completing as much as we can with our current setup. The timeline will be as followsTimelineWeek 1 complete the building of main charactersWeek 2 begin building villageWeek 4 begin shooting shortMonth 4 begin work on soundMonth 6 Complete final editing","CGI animation is challenging. There's always a risk that the production could run late, delaying completion time. Other than that there are no real risks."
https://www.kickstarter.com/projects/1036043017/let-me-draw-you?ref=discovery_category_newest,1036043017/let-me-draw-you,"Nice to meet you!Drawing has always been a passion ever since I was very little. I would draw all sorts of various things that I would take interest in. Everything from videogames to people to just plain ol fashioned throwing paint at the page. The world was just waiting to come to life on paper and I was ready with whatever medium I could get my hands on.So... Here I am Kickstarter!I want to be able to show my talents and be able to create awesome works of art for people who I know will enjoy them! And hopefully those people are YOU :DI am making these chibis and characters because I really think they are adorable and I love creating new things! Plus this will improve my skills as an artist which is something I strive to do all the time! I appreciate all the love and support from you all!♥ ♥ ♥ ♥ ♥ ♥ ♥Thank you!For some of my other art: www.facebook.com/AGNArt  http://alisgravenillart.deviantart.com/ How this works is I will use the picture you send me (doesn't even have to be you! It can be a superhero, a dog, a baby, etc...) to make a chibi or anime version of it :) Simple as that ^-^(Nothing lewd please!!!)A Thank you card with a drawing I pre- made for you! Signed and personally thanking you for your support! Thank you! (Can't say it enough :D )5x8 Chibi made in black ink.Chibi done in coloured pencils on 5x8Two chibis in one drawing done in coloured pencil on 5x8.So grab a friend or your favourite pet and you both can be in the picture together! :DDetailed portrait of you as an anime character done with coloured pencil on 5x8 Two chibis in one drawing done in coloured pencil done on 8x11Detailed portrait of you as an anime character done in your choosing of coloured pencil or black ink on 8x11Chibi drawing of you done in digital format (will be sent to you via email)Detailed full body of you as an anime character done in your choosing of coloured pencil or black ink on 8x11Keepsake!!One chibi drawing sent to you every month for a year on 5x8You can choose every month if you want it to be coloured pencil or black ink. For this you can send me a picture or a theme for that specific person this is for. This is a perfect gift or keepsake for people with babies so that every month they will have a little reminder of something they learned or did that month for a whole year :D (I did this for my two year old :D )Same as Reward #10Plus drawings sent to you on your choice of holidays and on the individuals' birthday!",The risks and challenges for this project is time management.I have a toddler and with another little one on the way in November but I will work with whatever spare time I have to complete your drawings! Thank you!,https://www.kickstarter.com/projects/1036043017/5-drawings-for-you?ref=discovery_category_newest,1036043017/5-drawings-for-you,Hello Everyone ｡◕‿‿◕｡Nice to meet you!Drawing has always been a passion ever since I was very little. I would draw all sorts of various things that I would take interest in. Everything from videogames to people to just plain ol fashioned throwing paint at the page. The world was just waiting to come to life on paper and I was ready with whatever medium I could get my hands on.So... Here I am Kickstarter!I want to be able to show my talents and be able to create awesome works of art for people who I know will enjoy them! And hopefully those people are YOU :DI appreciate all the love and support from you all! ♥ ♥ ♥ ♥ ♥ ♥ ♥Thank you!For some of my other art: https://www.facebook.com/AGNArthttp://alisgravenillart.deviantart.com/,The risks and challenges for this project is time management.I have a toddler and with another little one on the way in November but I will work with whatever spare time I have to complete your drawings! Thank you!
https://www.kickstarter.com/projects/1245835344/friendshipsme?ref=discovery_category_newest,1245835344/friendshipsme,"Hello. :) My name is Andreas and together with my girlfriend Rosalie, who is responsible for design and icons, I'm building a social network. We are a young couple from Hamburg, Germany.The main reason why we started this project in the first place was to find couples with similar interests. Working a full-time job makes it hard for a couple to find another couple they have things in common with. So finding a couple to spend some time with is kinda hard. There are many networks focusing on singles, but not many decent ones for couples.friendships.me will focus on singles as well, but also on straight or gay couples. But we're not building a dating website. It's rather a place for meeting people to spend time with, not mainly to fall in love.We do have a business plan in mind. Since we have no interest in selling user data to make money, we'd implement a simple monthly or yearly subscription service which allows to unlock features.We plan on having a working beta ready within the next 2 months. The development is active for a few months already, so we are not just starting from scratch now.Since we are building this ourselves, we have to pay it ourselves. We have a rather cheap hosting package where we currently host, but due to performance and possible server load, we would need a good server. Also, we're using Algolia for our internal member search and the limits of the free account are exeeded really quick, once people will use the site.We also need at least one lawyer looking over everything to make sure we won't get sued over something. Also, we are using Amazon SES for sending out emails, such as notifications, to the members. Since we are hopeful that many emails will be send, this also consumes money.With a funding we would look forward to speed things up a little and also make sure we have enough time for the business plan to take over at least the monthly running costs.The project will start with english as default language, and german as optional language. More languages will come over time.Well... we're no app developers yet. :) But if we see enough people using our site, we will work on a dedicated app for iOS and Android. But until then, our mobile version will hopefully work as well.Our home page is already live: friendships.me","The project could be a flop and not take off. This is a risk, of course, but we are hopeful that enough demand is present. We will need a final ""ok"" from our lawyer that everything is set and there is no ground for anyone to sue us over something.I think it is also important to mention that I, Andreas, am currently the only developer for this project. I have excellent experience in developing websites, though, since this is my day-to-day job.We are happy to answer any questions if you have concerns backing us.",https://www.kickstarter.com/projects/1245835344/discover-friendshipsme?ref=discovery_category_newest,1245835344/discover-friendshipsme,"Hello. :) My name is Andreas and together with my girlfriend Rosalie, who is responsible for design and icons, I'm building a social network. We are a young couple from Hamburg, Germany.The main reason why we started this project in the first place was to find couples with similar interests. Working a full-time job makes it hard for a couple to find another couple they have things in common with. So finding a couple to spend some time with is kinda hard. There are many networks focusing on singles, but not many decent ones for couples.friendships.me will focus on singles as well, but also on straight or gay couples. But we're not building a dating website. It's rather a place for meeting people to spend time with, not mainly to fall in love.We do have a business plan. Since we have no interest in selling user data to make money, we implemented a simple monthly or yearly subscription which allows to unlock features.Since we are building this ourselves, we have to pay it ourselves. We have a rather cheap hosting package where we currently host, but due to performance and possible server load, we would need a good server. Also, we're using Algolia for our internal member search and the limits of the free account are exeeded really quick, once people will use the site.We also need at least one lawyer looking over everything to make sure we won't get sued over something. Also, we are using Amazon SES for sending out emails, such as notifications, to the members. Since we are hopeful that many emails will be send, this also consumes money.With a funding we would look forward to speed things up a little and also make sure we have enough time for the business plan to take over at least the monthly running costs.We would also use the money for marketing to make sure enough people will get attention to our website.The project will start with english as default language, and german as optional language following soon after. More languages will come over time.Well... we're no app developers yet. :) But if we see enough people using our site, we will work on a dedicated app for iOS and Android. But until then, our mobile version will hopefully work as well.You can join our public beta here: friendships.me","The project could be a flop and not take off. This is a risk, of course, but we are hopeful that enough demand is present.I think it is also important to mention that I, Andreas, am currently the only developer for this project. I have excellent experience in developing websites, though, since this is my day-to-day job.We are happy to answer any questions if you have concerns backing us."
https://www.kickstarter.com/projects/1619375534/handmade-watercolor-girl-poster?ref=discovery_category_newest,1619375534/handmade-watercolor-girl-poster,"Hi guys!Like two or three days ago I decided that I should start moving my work anywhere I could, so I thought on this platform.I'm doing this posters with mixed media, printing the flat inks first (red and black) and then painting with watercolor. By hand. It will be a challenge.The funding will go towards professional printing and watercolors costs, and the posters will be printed and painted as soon as the campaing is completed (so I hope it'll be sended on May 2017).I hope you like it! Have a nice day!","The biggest risk of this project may be the painting process. I'm not sure about the number of people that will help me with this, so I'm scared if I get 2000 - if it's that I guess it will take more time than expected.",https://www.kickstarter.com/projects/1619375534/seasonal-fruits-posters?ref=discovery_category_newest,1619375534/seasonal-fruits-posters,"Everyone has a favorite season and we have always thought that weather is something that define us emotionally a lot. Whatever it is what makes you feel good, autumn rain or summer sunshine, snow or blossom, there is a moment of the year when it comes true.This idea was the root of the project we have launched. Maybe we just give too much importance to weather but it really make difference in our mood if it is a rainy or a sunny day. So we have decided to make something that could remind us the feeling we get when our favorite season comes so we can get that feeling everyday.That is the reason why we have chosen the poster format, so you can hang it somewhere you can see it every morning and start the day with energy. We have decided to draw this cute little fruits because, in our opinion, the most graphic sign of that a season has come is when you go to the market and see the new season fruits.We have designed 4 different posters (a poster per season) with 4 little cute fruits on them.The original idea was to represent seasons by using colors and very schematic forms. But, during the process, we have decided add some seasonal fruits to each poster. While we were painting, we drew those cute faces (it was just a joke) on the fruits, and we really liked it, so here they are!The great thing of this project is that you can choose the season you like the most and get its poster, but if you don’t have a favorite season or you want the whole collection because you like the design you can get it for a really lower price.We really like the designs of the fruits so if we get some foundation goals we will produce pins and stickers with the fruits and you will get them for free with every poster you order.   We are a couple of Spanish graphic designers living in Madrid. We have run this project as the first one of a lot of ideas that we would like to make true, and we think that Kickstarter is the best way to do it.If founded, the posters will be produced in March and ready to be shipped in April. They will be rolled and packed in poster tubes, and send with tracking number so you will know where your package is whenever you want.","The only problems we can get would be with packing and shipping, because we have to negotiate the shipping prices and be really accurate with the size and weight of the packages. But we hope there will not be problems of any kind."
https://www.kickstarter.com/projects/1510592574/cancer-dog?ref=discovery_category_newest,1510592574/cancer-dog,"In order to address gender inequality in fiction, I wrote a play entitled Cancer Dogthat has an all-female cast of characters who discuss abuse, choice, and narcissism without relying on a male character as a catalyst for action. Amazing, right?BONUS: It's viciously funny and darker than a moonless night.Cancer Dogfeatures incredibly accessible themes (choice and narcisism), and an amazing line-up of talent both on and off stage.  Normally when I finish creating a play, I gather interest from actors that I know in the valley, find a venue, and produce the work on my own.  The shows go well, everyone gets paid, and in the end I parlay the press and reviews into productions in other parts of the country.This time I'm looking for help. With my resources being tied to my current endeavors with TSTMRKT, I'm unable to completely fund the project on my own. I want to avoid putting this on the shelf and hoping that someone else wants to take a chance on an absurdist play about a woman who wants to literally die for attention. WHAT'S THE MONEY FOR?I'm glad you asked. Unlike a lot of theater companies in this town, I actually pay my actors. I also pay for the venue, the set, the construction, and the advertisements. The total production costs, when the smoke finally clears, for a full run can easily reach 50k or more. This will be nowhere near that as this production will only run for three weekends (including an incredibly brief preview) and will take place at a small venue that will comfortably seat 90 people. We're not looking to be millionaires. I just want to tell this story properly, and take care of those helping me to create it. I've made the ""rewards"" for donating to the cause something with legitimate value. No ""thank you"" cards or ""thumbs up."" You'll actually get copies of the material, chauffeured car service, cocktail receptions, etc. I'll make it worth your while. Your participation will make this production as close to the vision I have as possible, which deserves a lot more than a ""thank you.""","There are many challenges in producing live theater, but I've crafted this play as to avoid any production headaches.  The entire thing happens on a single set, there are only three characters, and (despite the title) there are no animals involved.",https://www.kickstarter.com/projects/1510592574/tstmrkt-home-entertainment-system?ref=discovery_category_newest,1510592574/tstmrkt-home-entertainment-system,"The Home Entertainment SystemI wanted to create a collaborative art piece that could be enjoyed on multiple levels, incorporating my love of collage, the need to poke holes in preconceived notions, and utilizing the talents of the artists that I have worked with over the years. The resulting project is ""The Home Entertainment System."" H.E.S. is a limited edition vinyl record that touches all the nostalgic feels of radio theater, and the future with ""yet to be created"" content for an ever-expanding alternate universe of videos and performances that are linked to each copy. The idea is that the end user will purchase a copy which will include a digital key to unlock a portion of the TSTMRKT website filled with characters developed from the album. Music, film, and prose will further each story line started from the origin of the first needle drop on the album. This will only be released on vinyl and only 200 copies will be available. Artwork by Brent Holmes and Joseph Shaul. Working with a gatefold gives us ample opportunity to utilize the visual artists we've worked with in the past to create something truly unique.Book by Ernest Hemmings.No TSTMRKT project would be complete without a ""User's Manual"" and, in this case, TSTMRKT founder and author, Ernest Hemmings, rises to the occasion with a 12""x12"" booklet of cut-n-paste shenanigans.Funny, ridiculous, absurd....Home Entertainment System will be the ""must have"" collector's item in any home with a phonograph.","There are no risks.  We've already recorded most of the material and whether or not this secures funding, we are going forward with the project.  I'm not sure how most of these entitled, privileged punks acquire their funding, but we're pretty used to doing things on our own.  In fact, this is only the second time in 18 years we've ever opened up to the possibility of outsiders helping us to make what we want to happen actually happen.  We normally just fund everything ourselves and hope for the best. We've had 18 years of good fortune and we feel that the math lands in our favor on this project."
https://www.kickstarter.com/projects/1283556902/justin-houpes-debut-ep-gravity?ref=discovery_category_newest,1283556902/justin-houpes-debut-ep-gravity,"Hello and thank you for your support of Justin Houpe Music in making my first solo studio album entitled ""GRAVITY"".For those of you who don't know Justin Houpe:Love. Passion. Faith.These three words echo the essence of Kansas City native, Justin Houpe’s, inspiration and artistic muse. With more than just a voice, but a vision for creating fresh and masterful music, Justin’s artistry boldly glorifies God without foregoing style or eclectic flavor. The second born son of a Bishop, Justin’s devout raising in the church undoubtedly played a considerable role in his initial captivation with music.Naturally drawing musical knack from both his father and mother, Justin discovered that his destiny being intertwined with singing, composition and all things harmonious would ultimately be inevitable.As a proud United States Army Veteran who served a tour in Iraq during Operation Iraqi Freedom, Justin’s passion for the power of music only flourished as he discovered just how significant melody could be for coping with the exertions of war. After completing 9 years of service with an honorable discharge, Justin returned home to the states and vowed to immerse himself into the professional development of his God-given musical talents.Influenced by the work of legendary greats such as Marvin Winans, Donnie Hathaway, D'Angelo, Anthony Hamilton, and Allen Stone just to name a few, Justin’s sound can best be described as soulful new age music that uplifts the soul while enriching the spirit.Preparing to release his debut EP late summer of 2016, Justin Houpe is an up and coming vocal sensation that music lovers, both Christian and mainstream will admire and artistically appreciate.What are my contributions be used for?First I want to say how grateful I am for every single dollar that you will be donating to my music! This is a list of what goals your support will be helping achieve:$1345 - Studio Recording$800 - Production (engineering, mixing, etc.)$285 - Mastering$1000 - Manufacturing / Distribution$1600 - Radio Promotion ($200 per week for an eight week campaign)$500 - Miscellaneous (unexpected expenses, shipping, etc.)All other costs for creating this album have been covered by Justin Houpe totaling $1,210.I want to personally send a thank you out to you all for your help and support!!! I absolutely can't wait for you to hear what is in store.-Justin H.www.justinhoupe.comwww.facebook.com/justinhoupemusic","Risks and challenges:This project is going to happen. My songs are ready, Chapman Studio is confirmed, and my engineer is simply waiting for funds at this point. The only potential risk is a delay in the mixing and mastering of the songs, this is a time consuming process that sometimes cannot be planned for. Even if a delay happens, the final product will still become a reality, and this music will still reach you and the world. Thank you for joining me as we complete the first of many albums to come!",https://www.kickstarter.com/projects/1283556902/justin-houpe-close-to-you-music-video?ref=discovery_category_newest,1283556902/justin-houpe-close-to-you-music-video,"Hello and thank you for stopping by. My name is Justin Houpe and I am preparing to shoot the music video for my Hit Single ""Close To You"".I have been told so many times by people how this song has been an inspiration to them and encouraged them not to give up on love. I wrote this song to express that you can love and desire for a woman without the focus being solely about her body (like so many songs today are about). This song details love for a woman's mind, spirit and beauty and tells a tail of love at first sight which is based off of my own personal experience.As the video clip mentions, I'm in the process of raising $2,000 that will go towards the filming of the music video of my Hit Singe ""Close To You"" from my first full length album ""Shades Of Love"". (Listen to song featuring Mae C below)This video will be filmed and directed by Q The Rebel of Rebelism Entertainment. Q is a super talented Producer-Director-Videographer. He has worked with some very big names in the in the industry i.e (Zoey Dollaz, Future, French Montana, Rico Love, Monica, etc.)I need the support from each and everyone of you in making this dream a reality for this very special project, no contribution is too small. I am grateful for every single pledge and donation.THANK YOU IN ADVANCE!!!Here is a teaser video of my single ""David Dance"" from my recently released Ep ""Gravity"".YOU CAN ALSO FIND ME AT :","Risks and challenges:This project is going to happen. My single is recorded and ready. The only potential challenge is a delay in the schedule for video editing , this is a time consuming process that sometimes take longer than expected. Even if a delay happens, the final product will still become a reality, and this song and video will still reach you and the world. Thank you for joining me as we complete the video for this amazing love song!!!LET'S MAKE AN AWESOME MUSIC VIDEO TOGETHER!!!I AM SO GRATEFUL FOR ALL YOU SUPPORT!!! THANK YOU!!! THANK YOU!! THANK YOU!!!"
https://www.kickstarter.com/projects/1370457138/gappers-goodies-a-taste-of-welsh-heaven?ref=discovery_category_newest,1370457138/gappers-goodies-a-taste-of-welsh-heaven,"In May 2016, I found myself jobless, this comes as a shock to most of us when it happens. But with grit and determination I decided not to fold and panic, but to turn an already trading ""cottage industry"" into a properly formed and stable company.With you help, we will purchase a site that allows us a little more room, after all making killer sweets to your specifications takes up a lot of room, and with the right foundations the company will blossom into one of Wales' newest and leading companies. We are already trading, why not search us out on facebook.We want to find a new base of operations and get out of my tiny kitchen, and the lounge which has become our administrain head quarters and postal room, spread our wings and get some amazing ideas off the drawing board and into action.with your help, this tiny little Welsh industry can be all we want it to be!","The biggest risk of all is striking the balance between having a profitable company, and of course having fun at work.  We all want a place to go to work that is filled with life, music and enjoy ourselves, at the same time we also need to make money to get by.We have the means, with a tried and tested busiiness model and a good supply leaving daily, your kickstart donation will see us bloom into the company I hope we can all be proud of.  We are marching into an already filled and competitive market, after all sweets, candies and chocolates are some of the most readily available commodities on the planet, so why invest I hear you say, that is because every sweet, candy or chocolate that we send out, is lovingly hand crafted, even bespoke if you want it, and all to your needs, after all we all love something a little sweet in our lives!",https://www.kickstarter.com/projects/1370457138/the-bee-initiative?ref=discovery_category_newest,1370457138/the-bee-initiative,"We were formed out of a simple idea to make money. Since our conception the organisation and our point of view has drastically changed! Our environment is in turmoil. Bees are dying at an alarming rate, and we want to see the balance restored. We are a tiny company that places live and active hives in residential and commercial properties to boost bee numbers across Wales, to ensure pollination, ensuring a greener environment and educate the public about bees and the unsung little hero that keeps us all fed!The money raised here, will buy new hives and equipment and allow us to spread the word further afield about bees and promote the work that bees do within our daily environment! Bees seem to have the reputation and a stinging unpleasant pest, but that is not the case! Bees only sting as a last resort and die after stinging! If we lost the bees tomorrow, one third of all the food in the world would die, there just isn't enough other pollinators to take care of it all!Why not protect the environment and help our little bees out from the comfort of where you are, simply place a pledge, support our work by visiting us on Facebook, or apply for a hive to have at home.Thank you!","We live in a society of convenience and instant gratification, we do not want to take that from you, but how glad would you be to do one little action to improve our environment and make our planet that little bit greener, one hive at a time?There are many things that we suffer from, pesticides, deforestation, hedgerow removal, wild habitat being destroyed, natural disease and pests and yes even humans with fly killer and bug sprays.By funding a hive you help us grow, we save the bees, the planet gets greener, what other project offers that warm fuzzy glowing sensation your feeling right now!"
https://www.kickstarter.com/projects/1654535184/children-of-arkhana?ref=discovery_category_newest,1654535184/children-of-arkhana,"        I.P.S.O- international planetary safety organization has been having quite a bit of luck finding young and talented new recruits. Melissa and Danny are exactly what they have been looking for too, who would have known a maniac also had his eyes on them.        Twins Melissa and Danny have never been normal and after being kicked out of their ninth school at 16 they've given up but that's when fate comes knocking at their door.       Suddenly they are thrown into a world of new adventure, Melissa and Danny will have to learn what it truly is to be a spy and with their new team of friends they may just uncover more about themselves then they thought.       This project is already underway and sketched out unfortunately I have no way to bring it to life as a full web comic and that's why I'm here! With your help I could start putting this comic out for the world to see.If funded I will be uploading full colored pages at least by weekly.I already have the first three chapters plotted and need to line and color.","I am fully dedicated to completing this project, working hard on it everyday but of course I still have two jobs and school and that is always a challenge but I would never let down the people who help me out so much.",https://www.kickstarter.com/projects/1654535184/second-guessing?ref=discovery_category_newest,1654535184/second-guessing,"Cory is over the past, he has grown and at twenty two years old he has carved out a little piece of happiness for himself. So what if that includes sleeping in his car in between street races and beating back his loan shark.           Cory planned on never seeing the boy that ruined his school life again, so the day he wakes up in his house is definitely a surprise.           Arson lexius is guilty, he already hates himself for bullying his childhood crush until he dropped out and now on their reunion he finds himself blackmailing Cory to stay with him.                All Arson wants is another chance but Cory needs a little more than an apology to forgive him. ~~~~~~~~~~~~~~~~~~~~~~~~~~~                Lane Alkaev has for the last ten years been drinking himself into the grave, on the side of running the Russian mob, why? Because he inadvertently killed the boy he was arranged to marry. He never loved Bobby but he should have protected him better.                   Imagine Lane's shock when he sees his dead fiancées modeling ads on a busy street. Now he has Bobby back but why is he more attractive now, despite looking exactly the same, and why does he insist his name is Oliver?~~~~~~~~~~~~~~~~~~~~~~~~~~~~~                    Koi hates gangs, ever since they crushed his small village and killed his childhood sweetheart. Now 28 years old and a detective he still doesn't believe he will ever met someone as prefect for him again, until he is captured by the Italian mob.                      ""I'm not gay, I'm not fucking gay"" is what markson has to keep repeating to himself ever since meeting his cousins new boyfriend. So what if he has never been with a girl or even been turned on by one. Ya defiantly not into guys, so why does he find himself curious with his new prisoner",If fully funded I don't see any future problems. I have a lot of passion for my projects and have a job where I can work continuously on my projects.
https://www.kickstarter.com/projects/1501148157/the-berger-sanchez-projects-next-awesome-cd?ref=discovery_category_newest,1501148157/the-berger-sanchez-projects-next-awesome-cd,"Once again, we're bringing apotpourri ofdivergent musical styles so we can all take a mental world tour.Help us record our next CD with a bag full of awesomeness!!",,https://www.kickstarter.com/projects/1501148157/the-berger-sanchez-project-second-studio-cd?ref=discovery_category_newest,1501148157/the-berger-sanchez-project-second-studio-cd,"Ok guys. We didn't make it the first time but are having another go at it to give you guys another chance before we find new friends (just kidding).Songs are ready, studio is ready, musicians are ready. We just need you!!Cheers!",The only risk we see this project would be production delays but we're are very prepared and ready to go!!
